slug,name,city,interview_type,ucat_notes
aberdeen,University of Aberdeen,Aberdeen,MMI,Uses UCAT; competitive cut-off typically around 2500+
barts,Barts and The London School of Medicine,London,MMI,Uses UCAT; one of the most competitive in London
birmingham,University of Birmingham,Birmingham,MMI,Uses UCAT; known for strong clinical focus
brighton-sussex,Brighton and Sussex Medical School,Brighton,MMI,Uses UCAT; joint school between Brighton and Sussex
bristol,University of Bristol,Bristol,MMI,Uses UCAT; popular with competitive applicants
cambridge,University of Cambridge,Cambridge,Panel,Does not use UCAT; uses ESAT for Natural Sciences route; highly selective
cardiff,Cardiff University,Cardiff,MMI,Uses UCAT; only Welsh medical school taking large UK cohorts
dundee,University of Dundee,Dundee,MMI,Uses UCAT; popular with Scottish applicants
east-anglia,University of East Anglia,Norwich,MMI,Uses UCAT; integrated clinical experience from Year 1
edinburgh,University of Edinburgh,Edinburgh,MMI,Uses UCAT; highly competitive; popular Oxbridge alternative
exeter,University of Exeter,Exeter,MMI,Uses UCAT; relatively newer school with strong competition
glasgow,University of Glasgow,Glasgow,Panel,Uses UCAT; largest medical school in Scotland
hull-york,Hull York Medical School,York,MMI,Uses UCAT; PBL-based curriculum
imperial,Imperial College London,London,MMI,Uses UCAT; one of the most competitive medical schools in the UK
keele,Keele University,Keele,MMI,Uses UCAT; smaller cohort; integrative approach
kings,King's College London,London,MMI,Uses UCAT; MBBS and BSc route; strong London hospital access
lancaster,Lancaster University,Lancaster,MMI,Uses UCAT; newer school; lower average UCAT cut-offs
leeds,University of Leeds,Leeds,Panel,Uses UCAT; large cohort; well-regarded clinical placements
leicester,University of Leicester,Leicester,MMI,Uses UCAT; known for its problem-based learning approach
liverpool,University of Liverpool,Liverpool,MMI,Uses UCAT; integrated medical school with strong NHS links
manchester,University of Manchester,Manchester,MMI,Uses UCAT; one of the largest medical schools in the UK
newcastle,Newcastle University,Newcastle,MMI,Uses UCAT; PBL-based curriculum; popular northern option
nottingham,University of Nottingham,Nottingham,MMI,Uses UCAT; known for early clinical exposure
oxford,University of Oxford,Oxford,Panel,Uses UCAT from 2024 entry; most competitive in the UK; separate preclinical degree
plymouth,University of Plymouth,Plymouth,MMI,Uses UCAT; formerly Peninsula; strong rural medicine focus
queens-belfast,Queen's University Belfast,Belfast,MMI,Uses UCAT; well-regarded in Northern Ireland
sheffield,University of Sheffield,Sheffield,MMI,Uses UCAT; large clinical school; strong NHS placement network
southampton,University of Southampton,Southampton,MMI,Uses UCAT; 5-year course; strong research links
st-andrews,University of St Andrews,St Andrews,Panel,Uses UCAT; BSc (Hons) only; students transfer for clinical years
st-georges,St George's University of London,London,MMI,Uses UCAT; UK's only specialist medical university
swansea,Swansea University,Swansea,MMI,Uses UCAT; graduate-entry only; 4-year programme
ucl,University College London,London,MMI,Uses UCAT; one of the UK's top-ranked medical schools
warwick,University of Warwick,Coventry,MMI,Uses UCAT; graduate-entry only; 4-year programme
anglia-ruskin,Anglia Ruskin University,Chelmsford,MMI,Uses UCAT; newer medical school; lower entry competition
uclan,University of Central Lancashire,Preston,MMI,Uses UCAT; newer medical school; good regional option
lincoln,University of Lincoln,Lincoln,MMI,Uses UCAT; opened 2019; regional intake focus
sunderland,University of Sunderland,Sunderland,MMI,Uses UCAT; one of the newest UK medical schools
aston,Aston University,Birmingham,MMI,Uses UCAT; new medical school in Birmingham opening 2025
